vendor,year,month,avg_discount_rate
Galleria,2024,02,16.30628419665
Galleria,2024,03,17.938959671785
Galleria,2024,04,13.8648617241424
Galleria,2024,05,15.7986199692537
Galleria,2024,06,17.9748569250067
Galleria,2024,07,21.0983699000457
Galleria,2024,08,23.4752006598385
Galleria,2024,09,22.7601488382969
Galleria,2024,10,21.1913815298462
Galleria,2024,11,20.6856320387809
Loblaws,2024,02,15.6157825898707
Loblaws,2024,03,16.9450762335103
Loblaws,2024,04,19.7808284481217
Loblaws,2024,05,19.2320172634734
Loblaws,2024,06,16.7492789366306
Loblaws,2024,07,16.5037635572119
Loblaws,2024,08,16.3779571519403
Loblaws,2024,09,15.9741955354915
Loblaws,2024,10,16.2954114782006
Loblaws,2024,11,16.3056206695171
Metro,2024,02,22.9485057462274
Metro,2024,03,21.9071690567032
Metro,2024,04,21.0083384346169
Metro,2024,05,22.4589527849869
Metro,2024,06,22.5330403785444
Metro,2024,07,23.9860837651747
Metro,2024,08,23.9296254407513
Metro,2024,09,23.170130265679
Metro,2024,10,18.0789063847682
Metro,2024,11,20.7266701317737
NoFrills,2024,02,14.8857302227919
NoFrills,2024,03,12.5531555036045
NoFrills,2024,04,10.2216447638209
NoFrills,2024,05,9.30328119762795
NoFrills,2024,06,-0.520390096282205
NoFrills,2024,07,17.7041715383704
NoFrills,2024,08,17.8919791999078
NoFrills,2024,09,18.5424883465679
NoFrills,2024,10,18.7046564547589
NoFrills,2024,11,17.390013206889
SaveOnFoods,2024,09,20.9008730789511
SaveOnFoods,2024,10,22.7169979401334
SaveOnFoods,2024,11,22.1810704708825
TandT,2024,02,14.6279891259007
TandT,2024,03,21.0522639422818
TandT,2024,04,21.5777270265594
TandT,2024,05,19.8310534101389
TandT,2024,06,27.7115183619612
TandT,2024,07,28.6906490780839
TandT,2024,08,25.6938396887841
TandT,2024,09,25.8252498096092
TandT,2024,10,27.388063987258
TandT,2024,11,26.9513359607597
Voila,2024,02,14.8573621150681
Voila,2024,03,13.9637572081037
Voila,2024,04,15.1813308867013
Voila,2024,05,18.8661627979838
Voila,2024,06,19.4036242638478
Voila,2024,07,18.7948143178424
Voila,2024,08,19.6789901702869
Voila,2024,09,20.6042625294021
Voila,2024,10,21.2778506791305
Voila,2024,11,19.9367455966613
Walmart,2024,03,22.5259686900778
Walmart,2024,04,25.1625458463219
Walmart,2024,05,26.179321245436
Walmart,2024,06,23.27420309989
Walmart,2024,07,22.658436706526
Walmart,2024,08,30.5990655506088
Walmart,2024,09,30.1384257690148
Walmart,2024,10,23.782880256525
Walmart,2024,11,22.0681132798837
